gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,der_pct,total_rcv_started,total_rcv_correct,total_collision,radio_der_pct,collision_pct
2,1,MAX,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MAX,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MAX,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MAX,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MAX,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MAX,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MAX,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MAX,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MAX,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MAX,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MAX,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MAX,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MAX,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MAX,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MAX,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MAX,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MAX,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MAX,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MAX,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MAX,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MAX,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MAX,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MAX,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MAX,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MAX,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MAX,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MAX,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MAX,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MAX,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MAX,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MAX,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MAX,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MAX,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MAX,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MAX,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MAX,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MIN,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MIN,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MIN,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MIN,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MIN,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MIN,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,1,MIN,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MIN,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MIN,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MIN,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MIN,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MIN,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,1,MIN,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MIN,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MIN,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MIN,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MIN,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MIN,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,1,MIN,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MIN,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MIN,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MIN,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MIN,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MIN,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,1,MIN,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MIN,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MIN,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MIN,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MIN,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MIN,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,1,MIN,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MIN,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MIN,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MIN,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MIN,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,1,MIN,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MAX,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MAX,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MAX,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MAX,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MAX,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MAX,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MAX,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MAX,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MAX,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MAX,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MAX,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MAX,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MAX,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MAX,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MAX,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MAX,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MAX,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MAX,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MAX,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MAX,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MAX,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MAX,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MAX,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MAX,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MAX,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MAX,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MAX,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MAX,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MAX,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MAX,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MAX,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MAX,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MAX,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MAX,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MAX,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MAX,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MIN,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MIN,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MIN,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MIN,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MIN,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MIN,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,2,MIN,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MIN,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MIN,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MIN,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MIN,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MIN,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,2,MIN,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MIN,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MIN,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MIN,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MIN,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MIN,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,2,MIN,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MIN,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MIN,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MIN,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MIN,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MIN,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,2,MIN,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MIN,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MIN,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MIN,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MIN,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MIN,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,2,MIN,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MIN,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MIN,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MIN,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MIN,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,2,MIN,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MAX,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MAX,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MAX,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MAX,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MAX,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MAX,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MAX,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MAX,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MAX,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MAX,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MAX,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MAX,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MAX,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MAX,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MAX,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MAX,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MAX,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MAX,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MAX,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MAX,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MAX,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MAX,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MAX,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MAX,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MAX,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MAX,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MAX,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MAX,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MAX,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MAX,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MAX,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MAX,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MAX,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MAX,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MAX,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MAX,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MIN,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MIN,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MIN,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MIN,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MIN,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MIN,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,3,MIN,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MIN,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MIN,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MIN,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MIN,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MIN,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,3,MIN,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MIN,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MIN,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MIN,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MIN,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MIN,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,3,MIN,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MIN,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MIN,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MIN,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MIN,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MIN,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,3,MIN,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MIN,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MIN,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MIN,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MIN,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MIN,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,3,MIN,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MIN,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MIN,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MIN,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MIN,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,3,MIN,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MAX,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MAX,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MAX,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MAX,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MAX,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MAX,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MAX,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MAX,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MAX,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MAX,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MAX,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MAX,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MAX,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MAX,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MAX,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MAX,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MAX,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MAX,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MAX,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MAX,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MAX,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MAX,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MAX,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MAX,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MAX,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MAX,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MAX,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MAX,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MAX,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MAX,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MAX,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MAX,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MAX,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MAX,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MAX,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MAX,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MIN,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MIN,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MIN,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MIN,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MIN,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MIN,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,4,MIN,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MIN,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MIN,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MIN,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MIN,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MIN,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,4,MIN,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MIN,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MIN,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MIN,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MIN,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MIN,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,4,MIN,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MIN,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MIN,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MIN,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MIN,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MIN,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,4,MIN,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MIN,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MIN,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MIN,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MIN,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MIN,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,4,MIN,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MIN,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MIN,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MIN,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MIN,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,4,MIN,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MAX,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MAX,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MAX,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MAX,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MAX,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MAX,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MAX,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MAX,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MAX,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MAX,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MAX,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MAX,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MAX,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MAX,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MAX,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MAX,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MAX,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MAX,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MAX,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MAX,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MAX,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MAX,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MAX,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MAX,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MAX,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MAX,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MAX,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MAX,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MAX,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MAX,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MAX,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MAX,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MAX,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MAX,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MAX,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MAX,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MIN,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MIN,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MIN,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MIN,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MIN,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MIN,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,5,MIN,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MIN,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MIN,11,12,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MIN,11,7,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MIN,11,8,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MIN,11,9,260,0,0,0.0,520,0,520,0.0,100.0
2,5,MIN,12,10,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MIN,12,11,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MIN,12,12,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MIN,12,7,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MIN,12,8,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MIN,12,9,140,0,0,0.0,280,0,280,0.0,100.0
2,5,MIN,7,10,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MIN,7,11,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MIN,7,12,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MIN,7,7,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MIN,7,8,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MIN,7,9,3060,0,0,0.0,6120,0,6120,0.0,100.0
2,5,MIN,8,10,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MIN,8,11,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MIN,8,12,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MIN,8,7,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MIN,8,8,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MIN,8,9,1720,0,0,0.0,3440,0,3440,0.0,100.0
2,5,MIN,9,10,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MIN,9,11,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MIN,9,12,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MIN,9,7,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MIN,9,8,980,0,0,0.0,1960,0,1960,0.0,100.0
2,5,MIN,9,9,980,0,0,0.0,1960,0,1960,0.0,100.0
2,6,MAX,10,10,500,0,0,0.0,1000,0,1000,0.0,100.0
2,6,MAX,10,11,500,0,0,0.0,1000,0,1000,0.0,100.0
2,6,MAX,10,12,500,0,0,0.0,1000,0,1000,0.0,100.0
2,6,MAX,10,7,500,0,0,0.0,1000,0,1000,0.0,100.0
2,6,MAX,10,8,500,0,0,0.0,1000,0,1000,0.0,100.0
2,6,MAX,10,9,500,0,0,0.0,1000,0,1000,0.0,100.0
2,6,MAX,11,10,260,0,0,0.0,520,0,520,0.0,100.0
2,6,MAX,11,11,260,0,0,0.0,520,0,520,0.0,100.0
2,6,MAX,11,12,260,0,0,0.0,520,0,520,0.0,100.0
